"subject","trial","condition","restime","reserror","ms_cutoff"
1,1,"None",4242.546196,0,23320.036996
1,12,"Blank",19569.5462,0,23320.036996
1,4,"None",NA,1,11153.061172
1,10,"None",1386.80224,0,12166.975824
1,15,"Blank",3747.594554,0,16222.634432
1,8,"Nback",3379.071096,0,21292.207692
1,11,"Nback",4860.594554,0,19264.378388
1,3,"Blank",3126.412489,0,20278.29304
1,13,"None",1463.35132,0,15208.71978
1,5,"Nback",NA,1,17236.549084
1,9,"Blank",4150.655723,0,16222.634432
1,14,"Nback",3574.778061,0,18250.463736
1,2,"Nback",8887.423858,0,11153.061172
1,6,"Blank",5354.497837,0,14194.805128
1,7,"None",1869.80224,0,20278.29304
2,13,"None",1545.864744,0,15208.549095
2,2,"Blank",5152.34693,0,11152.936003
2,3,"Nback",6065.800742,0,20278.06546
2,6,"Nback",8398.89747,0,14194.645822
2,7,"None",1925.509109,0,20278.06546
2,11,"Blank",2583.540385,0,19264.162187
2,15,"Nback",3159.540385,0,16222.452368
2,8,"Blank",9209.413833,0,21291.968733
2,10,"None",1698.509109,0,12166.839276
2,4,"None",3463.89747,0,11152.936003
2,9,"Nback",9486.476383,0,16222.452368
2,14,"Blank",2670.348381,0,18250.258914
2,1,"None",1752.218927,0,23319.775279
2,12,"Nback",3410.218927,0,23319.775279
2,5,"Blank",NA,1,17236.355641
3,7,"Nback",3301.514227,0,20278.1981
3,6,"Blank",5017.081666,0,14194.73867
3,15,"Blank",2706.406219,0,16222.55848
3,12,"Blank",5438.243942,0,23319.927815
3,4,"Nback",4125.081666,0,11153.008955
3,2,"None",1752.226029,0,11153.008955
3,13,"Nback",4408.982614,0,15208.648575
3,8,"None",1359.631192,0,21292.108005
3,5,"None",1408.766598,0,17236.468385
3,1,"Nback",3425.243942,0,23319.927815
3,10,"Nback",3748.514227,0,12166.91886
3,11,"None",1466.406219,0,19264.288195
3,14,"None",1533.433089,0,18250.37829
3,9,"Blank",6746.415175,0,16222.55848
3,3,"Blank",4779.991571,0,20278.1981
4,6,"None",4814.605253,0,14194.679072
4,11,"Blank",1910.134132,0,19264.207312
4,14,"Blank",2901.020528,0,18250.301664
4,10,"Nback",2520.152747,0,12166.867776
4,7,"Nback",6494.152747,0,20278.11296
4,13,"Nback",2828.548769,0,15208.58472
4,12,"None",1498.869692,0,23319.829904
4,8,"Blank",2298.133495,0,21292.018608
4,9,"None",1460.096264,0,16222.490368
4,3,"None",1435.510901,0,20278.11296
4,4,"Nback",2975.605253,0,11152.962128
4,2,"Blank",2486.945429,0,11152.962128
4,1,"Nback",2650.869692,0,23319.829904
4,5,"Blank",4473.511539,0,17236.396016
4,15,"None",2197.134132,0,16222.490368
5,13,"Blank",3593.271032,0,15208.50327
5,7,"Blank",7687.967329,0,20278.00436
5,4,"Blank",6618.27321,0,11152.902398
5,3,"Nback",5505.173428,0,20278.00436
5,15,"Nback",2630.062756,0,16222.403488
5,5,"None",1254.461884,0,17236.303706
5,2,"None",916.8631912,0,11152.902398
5,10,"Blank",2122.967329,0,12166.802616
5,14,"None",1083.769943,0,18250.203924
5,12,"Nback",6831.667983,0,23319.705014
5,8,"None",1498.774299,0,21291.904578
5,6,"Nback",2719.27321,0,14194.603052
5,11,"None",2516.062756,0,19264.104142
5,1,"Blank",7166.667983,0,23319.705014
5,9,"Nback",5163.965151,0,16222.403488
6,7,"Blank",5029.887481,0,20278.14834
6,6,"None",2114.387734,0,14194.703838
6,4,"Blank",4574.387734,0,11152.981587
6,2,"Nback",4875.646561,0,11152.981587
6,10,"Blank",9303.887481,0,12166.889004
6,15,"None",3646.831728,0,16222.518672
6,14,"Nback",8017.776482,0,18250.333506
6,8,"Nback",4807.924818,0,21292.055757
6,9,"None",2921.813313,0,16222.518672
6,11,"Nback",5691.831728,0,19264.240923
6,1,"Blank",7684.609731,0,23319.870591
6,12,"None",3130.609731,0,23319.870591
6,13,"Blank",4523.313566,0,15208.611255
6,5,"Nback",5169.202061,0,17236.426089
6,3,"None",7935.295151,0,20278.14834
7,14,"Nback",3725.907996,0,18250.316352
7,15,"Blank",3443.99469,0,16222.503424
7,4,"None",2241.504953,0,11152.971104
7,7,"None",2113.03043,0,20278.12928
7,13,"None",1274.440315,0,15208.59696
7,6,"Blank",2104.504953,0,14194.690496
7,11,"Nback",4525.99469,0,19264.222816
7,1,"None",NA,1,23319.848672
7,2,"Nback",3385.807618,0,11152.971104
7,3,"Blank",3191.411416,0,20278.12928
7,9,"Blank",2285.965792,0,16222.503424
7,10,"None",1197.03043,0,12166.877568
7,5,"Nback",4838.368835,0,17236.409888
7,12,"Blank",2901.749821,0,23319.848672
7,8,"Nback",3497.037272,0,21292.035744
