subject,trial,condition,order_byint,order,atc_scenario,ms_cutoff,restime,reserror
1,8,ATCint,1,4,4,21291.38506,4876.693493,0
1,14,ATCint,2,6,5,18249.75862,3512.183915,0
1,11,ATCint,3,7,1,19263.6341,3824.293112,0
1,2,ATCint,4,11,2,11152.63027,2184.04407,0
1,5,ATCint,5,13,3,17235.88314,3952.791197,0
1,9,Blank,1,1,NA,16222.00766,3175.92338,0
1,6,Blank,2,9,NA,14194.25671,5173.316098,0
1,15,Blank,3,12,NA,16222.00766,2398.293112,0
1,12,Blank,4,14,NA,23319.13602,2524.304605,0
1,3,Blank,5,15,NA,20277.50958,2485.191577,0
1,7,None,1,2,NA,20277.50958,1068.678169,0
1,13,None,2,3,NA,15208.13219,1885.561309,0
1,4,None,3,5,NA,11152.63027,1059.316098,0
1,10,None,4,8,NA,12166.50575,1436.678169,0
1,1,None,5,10,NA,23319.13602,1228.304605,0
10,10,ATCint,1,4,4,12166.48106,4590.986702,0
10,7,ATCint,2,6,3,20277.46844,2257.986702,0
10,13,ATCint,3,9,2,15208.10133,NA,1
10,4,ATCint,4,10,1,11152.60764,5919.569095,0
10,1,ATCint,5,11,5,23319.08871,2764.606968,0
10,14,Blank,1,1,NA,18249.7216,6130.467766,0
10,5,Blank,2,5,NA,17235.84817,4130.151152,0
10,8,Blank,3,7,NA,21291.34186,2231.936205,0
10,2,Blank,4,12,NA,11152.60764,1982.391684,0
10,11,Blank,5,14,NA,19263.59502,2196.64484,0
10,6,None,1,2,NA,14194.22791,1834.569095,0
10,12,None,2,3,NA,23319.08871,1563.606968,0
10,9,None,3,8,NA,16221.97475,1753.252482,0
10,3,None,4,13,NA,20277.46844,996.4425174,0
10,15,None,5,15,NA,16221.97475,1078.64484,0
11,3,ATCint,1,6,1,20277.34874,2475.17264,0
11,12,ATCint,2,7,4,23318.95105,1921.486705,0
11,9,ATCint,3,11,3,16221.87899,1866.210019,0
11,6,ATCint,4,12,5,14194.14412,2076.305202,0
11,15,ATCint,5,14,2,16221.87899,5253.668208,0
11,4,Blank,1,1,NA,11152.54181,3345.305202,0
11,1,Blank,2,2,NA,23318.95105,2703.486705,0
11,7,Blank,3,8,NA,20277.34874,2081.884393,0
11,10,Blank,4,10,NA,12166.40924,1760.884393,0
11,13,Blank,5,15,NA,15208.01156,1937.630828,0
11,8,None,1,3,NA,21291.21618,1294.642389,0
11,5,None,2,4,NA,17235.74643,1534.198459,0
11,11,None,3,5,NA,19263.4813,1481.668208,0
11,2,None,4,9,NA,11152.54181,1189.403083,0
11,14,None,5,13,NA,18249.61387,1146.293642,0
12,5,ATCint,1,1,5,17235.78544,3739.796974,0
12,8,ATCint,2,2,3,21291.26437,4920.371674,0
12,11,ATCint,3,3,2,19263.52491,2893.2759,0
12,2,ATCint,4,7,1,11152.56705,2009.015363,0
12,14,ATCint,5,9,4,18249.65518,3361.977042,0
12,13,Blank,1,5,NA,15208.04598,2360.3257,0
12,1,Blank,2,10,NA,23319.00384,2677.149458,0
12,4,Blank,3,11,NA,11152.56705,2782.023016,0
12,7,Blank,4,12,NA,20277.39464,2350.540263,0
12,10,Blank,5,13,NA,12166.43678,2090.540263,0
12,6,None,1,4,NA,14194.17625,2075.023016,0
12,12,None,2,6,NA,23319.00384,1494.149458,0
12,3,None,3,8,NA,20277.39464,1297.892748,0
12,15,None,4,14,NA,16221.91571,1304.2759,0
12,9,None,5,15,NA,16221.91571,1585.842948,0
13,11,ATCint,1,4,2,19263.34188,3200.923078,0
13,2,ATCint,2,10,3,11152.46109,2092.643276,0
13,14,ATCint,3,11,4,18249.48178,2426.306344,0
