Participant,TestNumber_1,TestNumber_2,TestNumber_3,TestNumber_4,TestNumber_5,TestNumber_6,TestNumber_7,TestNumber_8,TestNumber_9,TestNumber_10,TestNumber_11,TestNumber_12,TestNumber_13,TestNumber_14,TestNumber_15,Nback1_PM,Nback2_PM,Nback3_PM,Nback4_PM,Nback5_PM,Blank1_PM,Blank2_PM,Blank3_PM,Blank4_PM,Blank5_PM,None1_PM,None2_PM,None3_PM,None4_PM,None5_PM,NbackM_PM,BlankM_PM,NoneM_PM,Nback1_PM_falsealarm,Nback2_PM_falsealarm,Nback3_PM_falsealarm,Nback4_PM_falsealarm,Nback5_PM_falsealarm,Blank1_PM_falsealarm,Blank2_PM_falsealarm,Blank3_PM_falsealarm,Blank4_PM_falsealarm,Blank5_PM_falsealarm,None1_PM_falsealarm,None2_PM_falsealarm,None3_PM_falsealarm,None4_PM_falsealarm,None5_PM_falsealarm,NbackM_PM_falsealarm,BlankM_PM_falsealarm,NoneM_PM_falsealarm,Nback1_Accuracy2,Nback2_Accuracy2,Nback3_Accuracy2,Nback4_Accuracy2,Nback5_Accuracy2,Blank1_Accuracy2,Blank2_Accuracy2,Blank3_Accuracy2,Blank4_Accuracy2,Blank5_Accuracy2,None1_Accuracy2,None2_Accuracy2,None3_Accuracy2,None4_Accuracy2,None5_Accuracy2,NbackM_PM_Accuracy2,BlankM_PM_Accuracy2,NoneM_PM_Accuracy2,Nback1_PMRT,Nback2_PMRT,Nback3_PMRT,Nback4_PMRT,Nback5_PMRT,Blank1_PMRT,Blank2_PMRT,Blank3_PMRT,Blank4_PMRT,Blank5_PMRT,None1_PMRT,None2_PMRT,None3_PMRT,None4_PMRT,None5_PMRT,NbackM_PM_reaction,BlankM_PM_reaction,NoneM_PM_reaction,Nback1_PM_Fixed,Nback2_PM_Fixed,Nback3_PM_Fixed,Nback4_PM_Fixed,Nback5_PM_Fixed,Blank1_PM_Fixed,Blank2_PM_Fixed,Blank3_PM_Fixed,Blank4_PM_Fixed,Blank5_PM_Fixed,None1_PM_Fixed,None2_PM_Fixed,None3_PM_Fixed,None4_PM_Fixed,None5_PM_Fixed,Nback_PM_Fixed,Blank_PM_Fixed,None_PM_Fixed,Nback_PM_Valid,Blank_PM_Valid,None_PM_Valid
1,12,13,5,14,7,11,2,1,6,8,10,4,15,3,9,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3987.92313657296,0,2733.28870888328,2366.81360907081,639.411046956579,3443.06965387901,4576.739629463,3198.21617118505,0,3612.53338502991,3010.9843056096,2867.52057445873,0,3571.4480367605,3029.34181817569,2964.35912537091,3265.62157546468,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,3,4,4,5,5,5
10,4,6,7,11,9,14,12,13,8,15,3,2,1,10,5,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1283.77297451353,1745.44100512812,0,3309.10903574273,0,2538.47970921264,1165.46035717038,1851.25566839316,1960.94305105004,0,2607.53367349561,1992.73836227282,620.904346965515,1254.51841329716,1260.60698982084,2112.77433846146,1879.03469645655,1547.26035717039,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,3,4,5,5,5,5
11,2,15,8,5,6,3,13,11,1,12,4,9,10,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
12,14,15,3,1,13,7,10,9,4,6,11,12,2,8,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1101.1771273698,1392.65624789853,1586.87734883191,1922.86020233069,1142.79383094682,1335.43998724571,3008.06899704339,2591.12306220661,1108.34416313996,1447.2852576962,1174.20658009168,1194.41053452384,2400.16482114914,1121.54811757212,1500.89273160773,1837.1540081165,1467.5230622066,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5
13,15,14,7,13,4,5,9,11,8,6,3,10,2,12,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2956.88622231595,0,0,3162.71707522019,3505.32517258765,3177.8540572513,0,3205.98687839613,2127.08753447633,1180.34661596405,2499.89694400417,2341.36805934049,0,2978.88622231595,3704.51576305981,3208.30949004126,2422.81877152195,2881.1667471801,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,3,4,4,5,5,5
14,1,4,15,7,5,3,6,11,12,10,2,13,8,14,9,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,4,3,3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.019230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963.50039867088,1202.37479731467,2596.34189191018,1165.72872974837,0,0,1116.37279056074,1733.85633785851,0,3025.3089865057,2321.98595272255,938.504412178707,0,3965.3089865057,0,1981.98645441102,1958.51270497498,2408.59978380232,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,4,3,3,5,5,5
15,4,2,7,10,15,3,11,6,1,13,12,5,9,8,14,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,0,0,0,0,0,0.076923076923077,0,0,0,0,0,0,0,0,0,0,0.019230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750.60852612849,1698.35965027387,0,2498.11077441924,1549.70581080322,3166.64017596256,1481.48408820116,2744.4569349486,824.846073647583,1451.72163572026,2122.98633649191,1292.4999131182,2332.22388401101,3967.16508092437,2245.42978169603,1874.1961904062,1933.82978169603,2392.0609992483,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5
16,5,6,1,3,8,15,4,10,7,13,2,14,11,9,12,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10708.9224834374,0,0,0,0,15748.5976883682,0,0,3312.11853235876,0,0,0,0,0,0,10708.9224834374,9530.35811036349,,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,5,5,5
17,11,12,4,6,8,2,9,15,13,7,5,1,14,3,10,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,948.718728155916,0,2860.58867204515,1121.48848500926,0,0,2364.59219864893,2117.23542599526,1103.9753137737,1830.29869074875,2661.36195550225,2841.04210513097,2428.84525766294,1230.0684476021,1280.29869074875,1643.59862840344,1854.02540729166,2088.3232913294,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,3,4,5,5,5,5
18,15,7,2,13,6,9,12,8,14,5,1,3,4,11,10,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440.37984878963,1816.76473544937,1953.93702763639,1927.45390419743,760.928967179236,0,1443.41209061819,0,812.321914296132,1728.93702763639,2332.91284626495,3667.03526441561,1338.20755660263,1118.39596970391,0,1779.89289665041,1328.22367751691,2114.13790924678,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,5,3,4,5,5,5
