Participant,Scenario,intData_HandoffTime,intData_HandoffMisses,intData_HandoffTime,intData_HandoffMisses,intData_CDT,intData_ConfMisses,intData_FalseAlarms
01,1,3236.15,0,2838.246666666666666666666667,1,12733.9,1,0
01,2,2846.645,0,3978.40,0,13868.460000000001,0,0
01,3,2650.85,0,2952.565,1,14431.355,0,0
01,4,2646.163333333333333333333333,0,3994.37,2,10209.459999999999,0,0
01,5,2253.2,0,2908.41,1,21357.549999999999,0,0
02,1,2866.4,1,5744.07,2,17221.299999999999,0,0
02,2,1928.365,0,4239.78,0,10244.799999999999,0,0
02,3,3618.05,0,3883.655,1,13379.41,0,0
02,4,3728.32,0,3353.19,1,12205.0,1,0
02,5,1555.166666666666666666666667,0,5523.40,1,16681.299999999999,1,0
03,1,2255.6,1,2672.753333333333333333333333,1,10750.1,1,0
03,2,1758.97,0,3766.51,0,9276.1000000000004,1,0
03,3,1956.35,0,3254.663333333333333333333333,0,12130.165000000001,0,0
03,4,2044.763333333333333333333333,0,3812.22,2,12283.215,0,0
03,5,1965.7,0,2496.503333333333333333333333,1,nan,2,0
04,1,5136.2,1,4479.613333333333333333333333,1,13144.1,1,0
04,2,3844.335,0,4484.123333333333333333333333,0,17865.700000000001,1,0
04,3,2768.95,0,3884.125,1,nan,2,0
04,4,-8073.15,2,0,3,15653.049999999999,0,0
04,5,3039.2,1,6392.923333333333333333333333,1,nan,2,0
05,1,3025.5,0,3309.333333333333333333333333,1,16657.099999999999,1,1
05,2,1533.505,0,3757.313333333333333333333333,0,13623.200000000001,0,0
05,3,1386.35,0,2457.836666666666666666666667,0,10943.73,0,0
05,4,1621.0,0,2572.74,1,8015.5749999999998,0,0
05,5,1261.233333333333333333333333,0,4727.586666666666666666666667,1,nan,2,0
06,1,3384.9,0,3432.116666666666666666666667,1,13132.0,1,0
06,2,1896.455,0,5805.383333333333333333333333,0,20311.900000000001,1,0
06,3,3812.6,0,3521.965,1,14919.425000000001,0,0
06,4,3797.926666666666666666666667,0,3735.25,2,14146.395,0,0
06,5,2264.9,0,3007.49,1,nan,2,0
07,1,4336.4,0,3358.96,1,21692.599999999999,1,0
07,2,3227.67,0,3366.023333333333333333333333,0,16541.0,1,0
07,3,2191.5,0,5253.64,1,10568.9,1,0
07,4,3488.633333333333333333333333,0,2724.95,1,16601.599999999999,1,0
07,5,-22248,2,0,4,nan,2,0
08,1,1425.0,0,2181.333333333333333333333333,1,nan,2,0
08,2,1530.21,1,4676.495,1,18911.0,0,0
08,3,1366.8,0,3298.263333333333333333333333,0,8773.2800000000007,1,0
08,4,2370.336666666666666666666667,0,3612.13,2,21819.799999999999,1,0
08,5,1902.233333333333333333333333,0,6651.983333333333333333333333,1,nan,2,0
09,1,6673.3,1,3651.306666666666666666666667,1,16466.25,0,0
09,2,3426.42,0,4063.566666666666666666666667,0,nan,2,0
09,3,3281.25,0,5362.295,1,9561.7900000000009,1,0
09,4,3049.723333333333333333333333,0,3662.68,1,18182.650000000001,0,0
09,5,3075.033333333333333333333333,0,3946.14,1,nan,2,0
10,1,4099.25,0,3777.923333333333333333333333,1,nan,2,0
10,2,4046.995,0,4504.906666666666666666666667,0,23480.599999999999,1,0
10,3,5847.8,0,3880.163333333333333333333333,0,17671.599999999999,0,0
10,4,4764.72,0,6213.95,2,nan,2,0
10,5,2711.75,1,4117.215,2,23937.5,1,0
11,1,-16176.4,1,0,4,15088.1,1,0
11,2,2531.63,0,4497.136666666666666666666667,0,9361.8700000000008,1,0
11,3,2819.4,0,2596.683333333333333333333333,0,6839.4200000000001,1,0
11,4,2864.123333333333333333333333,0,4767.77,2,17126.799999999999,1,0
11,5,2192.4,0,4102.675,2,15238.799999999999,1,0
12,1,1658.25,0,2295.71,1,7927.2700000000004,1,0
12,2,2036.005,0,3990.033333333333333333333333,0,9276.9899999999998,1,0
12,3,3104.6,1,2582.825,1,15359.424999999999,0,0
12,4,2084.243333333333333333333333,0,3602.24,2,8785.2900000000009,0,0
12,5,2488.4,1,4875.856666666666666666666667,1,nan,2,0
13,1,1844.1,0,4866.396666666666666666666667,1,11012.0,1,0
13,2,3278.56,0,5160.806666666666666666666667,0,9935.8999999999996,1,0
13,3,-12123,1,0,3,12813.060000000001,0,0
13,4,3669.643333333333333333333333,0,3265.34,1,11089.630000000001,0,0
13,5,2699.3,1,6495.206666666666666666666667,1,nan,2,0
14,1,2092.2,0,3874.45,1,16318.075000000001,0,0
14,2,2362.08,0,5041.63,0,10235.5,1,0
14,3,1523.1,0,3361.406666666666666666666667,0,15977.16,0,0
14,4,1991.486666666666666666666667,0,2617.445,1,15158.4,1,0
14,5,3399.166666666666666666666667,0,4953.283333333333333333333333,1,24016.200000000001,1,0
15,1,2072.1,0,3235.256666666666666666666667,1,nan,2,0
15,2,3289.455,0,4980.816666666666666666666667,0,19337.599999999999,1,1
15,3,5566.1,0,6866.26,1,16098.529999999999,0,1
15,4,3006.02,1,4127.98,1,8793.0,1,0
15,5,3148.0,0,5699.903333333333333333333333,1,11349.799999999999,1,0
16,1,2693.75,0,3304.22,1,nan,2,0
16,2,2238.23,0,5113.113333333333333333333333,0,18566.349999999999,0,0
16,3,2059.8,0,3898.966666666666666666666667,0,10238.4,1,0
16,4,2618.133333333333333333333333,0,4560.82,2,21513.599999999999,1,0
16,5,3761.3,0,3181.95,2,11521.9,1,0
17,1,2385.55,0,3657.783333333333333333333333,1,14895.1,1,0
17,2,2102.9,0,4496.99,0,15330.700000000001,1,0
17,3,2189.8,0,2681.103333333333333333333333,0,nan,2,0
17,4,2122.75,0,3583.46,1,9153.9799999999996,1,0
17,5,1712.533333333333333333333333,0,6393.10,1,10170.799999999999,1,0
18,1,2668.5,0,3745.78,1,nan,2,0
18,2,2287.735,0,5891.71,0,23087.700000000001,1,0
18,3,1527.0,0,3516.846666666666666666666667,0,5315.7600000000002,1,0
18,4,1861.403333333333333333333333,0,10927.2,2,23446.299999999999,1,0
18,5,2543.8,0,7620.65,1,21353.400000000001,1,0
19,1,9195.7,1,2793.043333333333333333333333,1,12605.9,1,0
19,2,4243.535,0,4913.503333333333333333333333,0,13808.349999999999,0,0
