Participant,TestNumber_1,TestNumber_2,TestNumber_3,TestNumber_4,TestNumber_5,TestNumber_6,TestNumber_7,TestNumber_8,TestNumber_9,TestNumber_10,TestNumber_11,TestNumber_12,TestNumber_13,TestNumber_14,TestNumber_15,ATCint1_PM,ATCint2_PM,ATCint3_PM,ATCint4_PM,ATCint5_PM,Blank1_PM,Blank2_PM,Blank3_PM,Blank4_PM,Blank5_PM,None1_PM,None2_PM,None3_PM,None4_PM,None5_PM,ATCintM_PM,BlankM_PM,NoneM_PM,ATCint1_PM_falsealarm,ATCint2_PM_falsealarm,ATCint3_PM_falsealarm,ATCint4_PM_falsealarm,ATCint5_PM_falsealarm,Blank1_PM_falsealarm,Blank2_PM_falsealarm,Blank3_PM_falsealarm,Blank4_PM_falsealarm,Blank5_PM_falsealarm,None1_PM_falsealarm,None2_PM_falsealarm,None3_PM_falsealarm,None4_PM_falsealarm,None5_PM_falsealarm,ATCintM_PM_falsealarm,BlankM_PM_falsealarm,NoneM_PM_falsealarm,ATCint1_Accuracy2,ATCint2_Accuracy2,ATCint3_Accuracy2,ATCint4_Accuracy2,ATCint5_Accuracy2,Blank1_Accuracy2,Blank2_Accuracy2,Blank3_Accuracy2,Blank4_Accuracy2,Blank5_Accuracy2,None1_Accuracy2,None2_Accuracy2,None3_Accuracy2,None4_Accuracy2,None5_Accuracy2,ATCintM_PM_Accuracy2,BlankM_PM_Accuracy2,NoneM_PM_Accuracy2,ATCint1_PMRT,ATCint2_PMRT,ATCint3_PMRT,ATCint4_PMRT,ATCint5_PMRT,Blank1_PMRT,Blank2_PMRT,Blank3_PMRT,Blank4_PMRT,Blank5_PMRT,None1_PMRT,None2_PMRT,None3_PMRT,None4_PMRT,None5_PMRT,ATCintM_PM_reaction,BlankM_PM_reaction,NoneM_PM_reaction,ATCint1_ResTime,ATCint2_ResTime,ATCint3_ResTime,ATCint4_ResTime,ATCint5_ResTime,Blank1_ResTime,Blank2_ResTime,Blank3_ResTime,Blank4_ResTime,Blank5_ResTime,None1_ResTime,None2_ResTime,None3_ResTime,None4_ResTime,None5_ResTime,ATCintM_ResTime,BlankM_ResTime,NoneM_ResTime,ATCint1_ResTimeMisses,ATCint2_ResTimeMisses,ATCint3_ResTimeMisses,ATCint4_ResTimeMisses,ATCint5_ResTimeMisses,Blank1_ResTimeMisses,Blank2_ResTimeMisses,Blank3_ResTimeMisses,Blank4_ResTimeMisses,Blank5_ResTimeMisses,None1_ResTimeMisses,None2_ResTimeMisses,None3_ResTimeMisses,None4_ResTimeMisses,None5_ResTimeMisses,ATCintM_ResTimeMisses,BlankM_ResTimeMisses,NoneM_ResTimeMisses,ATCint1_PM_Fixed,ATCint2_PM_Fixed,ATCint3_PM_Fixed,ATCint4_PM_Fixed,ATCint5_PM_Fixed,Blank1_PM_Fixed,Blank2_PM_Fixed,Blank3_PM_Fixed,Blank4_PM_Fixed,Blank5_PM_Fixed,None1_PM_Fixed,None2_PM_Fixed,None3_PM_Fixed,None4_PM_Fixed,None5_PM_Fixed,ATCint_PM_Fixed,Blank_PM_Fixed,None_PM_Fixed,ATCint_PM_Valid,Blank_PM_Valid,None_PM_Valid,,
1,9,7,13,8,4,14,11,10,6,1,2,15,5,12,3,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5825.522999,0,1951.258633,0,0,0,2103.662844,3352.538323,0,0,0,3888.390816,2728.100584,4876.693493,3512.183915,3824.293112,2184.04407,3952.791197,3175.92338,5173.316098,2398.293112,2524.304605,2485.191577,1068.678169,1885.561309,1059.316098,1436.678169,1228.304605,3670.001157,3151.405754,1335.70767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,2,5,5,5,,1013.875479
10,14,6,12,10,5,7,8,9,13,4,1,2,3,11,15,1,1,0,0,1,1,1,1,0,1,1,,0,0,1,3,4,2,0,0.111111111,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4888.581382,7932.189024,0,0,4363.467429,3127.581382,2894.517925,2101.935868,0,2624.973741,4208.315602,,0,0,3959.758457,5728.079278,2687.252229,4084.03703,4590.986702,2257.986702,15208.10133,5919.569095,2764.606968,6130.467766,4130.151152,2231.936205,1982.391684,2196.64484,1834.569095,1563.606968,1753.252482,996.4425174,1078.64484,6148.250159,3334.318329,1445.303181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,N/A,0,0,1,3,4,2,5,5,4,,1013.873422
11,4,1,8,5,11,3,12,7,2,10,9,6,14,15,13,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,3,5,4,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524.0427745,1499.235838,4611.512524,0,1700.993834,1196.766089,2185.379961,3793.83815,490.1263969,1447.114836,1228.008092,0,2134.959152,3028.83815,2211.597046,1873.420886,1959.730058,2475.17264,1921.486705,1866.210019,2076.305202,5253.668208,3345.305202,2703.486705,2081.884393,1760.884393,1937.630828,1294.642389,1534.198459,1481.668208,1189.403083,1146.293642,2718.568555,2365.838304,1329.241156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,3,5,4,5,5,5,,1013.867437
12,5,8,11,6,13,12,2,3,14,1,4,7,10,15,9,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1090.789321,702.4406634,1198.356369,0,0,933.5785844,1771.923416,0,0,164.5747581,0,1365.655227,0,997.1954511,1352.751,765.1149924,3739.796974,4920.371674,2893.2759,2009.015363,3361.977042,2360.3257,2677.149458,2782.023016,2350.540263,2090.540263,2075.023016,1494.149458,1297.892748,1304.2759,1585.842948,3384.887391,2452.11574,1551.436814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,3,2,2,5,5,5,,1013.869732
13,1,15,6,11,13,9,10,12,3,2,14,7,5,4,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,855.9181299,2234.617635,0,0,0,0,0,2190.798922,0,0,0,0,0,0,0,1545.267883,2190.798922,0,3200.923078,2092.643276,2426.306344,4320.482682,3181.508323,2252.923078,3468.207828,1881.384166,10789.56545,3103.067927,2097.565453,1082.606838,1364.985156,1333.985156,2105.207828,3044.37274,4299.02969,1596.870086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,5,5,5,,1013.860099
14,3,10,6,4,9,1,13,12,5,2,7,15,8,11,14,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1889.910155,2106.529315,1089.408358,4737.265838,827.0131429,1843.148475,0,1369.525721,0,2121.155663,811.5436902,713.0275181,0,2673.785604,2455.778417,1346.562446,1579.878119,6933.195195,8462.319745,5290.928124,4951.308964,3800.298182,2749.796386,2834.049081,15156.69699,2207.298182,3891.188007,2209.682616,2792.319745,5043.308964,1737.565253,1368.682616,5887.610042,5367.805729,2630.311839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,4,3,4,5,5,5,,1013.875449
15,4,10,7,5,12,3,2,1,8,13,14,15,6,9,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0.019230769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5152.436072,0,0,1838.450264,0,0,0,5152.436072,1838.450264,11152.63476,11913.61695,3250.616952,4863.244613,15208.1383,9186.244613,15120.14179,4586.223326,14194.26242,7190.858083,1640.719778,1457.9751,2164.645336,2535.127596,3635.223326,9277.650316,10055.54605,2286.738227,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,5,5,5,,1013.875887
16,11,1,7,6,8,4,15,3,10,12,5,2,14,9,13,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.019230769,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3560.806486,1886.381779,5214.288252,0,7167.770017,3340.537074,0,0,2254.288252,4463.941192,4276.733549,2924.594133,2930.480016,1853.69237,3553.825506,4254.198448,3289.888252,5193.801776,20277.30588,2195.568833,2559.205894,15207.97941,8881.034719,10060.8953,11700.57354,3098.765307,5445.589423,14194.11412,5036.034719,2468.434127,8897.801776,16221.8447,9086.772359,7837.371659,9363.645889,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,2,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,3,3,5,5,5,5,,1013.865294
17,15,13,3,4,1,12,2,14,9,6,11,10,7,8,5,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,3,3,4,0,0,0,0.1,0.090909091,0,0.142857143,0,0.083333333,0,0,0.125,0,0,0,0.038461538,0.040816327,0.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.2639763,1581.226977,2821.085807,0,0,3380.164789,0,0,5345.882449,2771.421939,0,2017.882449,1612.342958,4247.156392,1314.060618,1525.192254,3832.489726,2297.860604,2347.70428,2508.198375,4275.517714,3016.24377,3738.331149,1979.658884,2897.331149,2943.517714,2241.916035,3897.916035,1313.438732,1600.322752,2921.70428,1878.667281,2104.235374,3177.199058,2792.067963,1963.673684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,3,3,4,5,5,5,,1013.867226
18,10,4,8,15,12,13,3,11,5,2,7,1,14,6,9,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2469.772917,1836.912765,2383.575921,1866.5669,1598.473668,4408.473668,0,2330.810512,2148.034571,2623.389457,2803.790959,0,6953.857128,2421.165398,3781.866149,2031.060434,2877.677052,3990.169909,12557.43758,2922.371415,3185.894723,5481.109761,4997.054125,5576.624049,4408.09172,2282.39999,20277.38346,20474.23157,1457.371415,3603.231568,2543.960893,2457.09172,2355.932318,5828.773522,10603.74616,2483.517583,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,5,4,4,5,5,5,,1013.869173
