Participant,ATCintM_Workload1,BlankM_Workload1,NoneM_Workload1,ATCintM_Workload2,BlankM_Workload2,NoneM_Workload2,ATCintM_Workload,BlankM_Workload,NoneM_Workload,ATCintM_PreInt_Handoff_ReactionTime,BlankM_PreInt_Handoff_ReactionTime,NoneM_PreInt_Handoff_ReactionTime,ATCintM_PostInt_Handoff_ReactionTime,BlankM_PostInt_Handoff_ReactionTime,NoneM_PostInt_Handoff_ReactionTime,ATCintM_PreInt_Accept_ReactionTime,BlankM_PreInt_Accept_ReactionTime,NoneM_PreInt_Accept_ReactionTime,ATCintM_PostInt_Accept_ReactionTime,BlankM_PostInt_Accept_ReactionTime,NoneM_PostInt_Accept_ReactionTime,ATCintM_PostInt_Handoff_Misses,BlankM_PostInt_Handoff_Misses,NoneM_PostInt_Handoff_Misses,ATCintM_PostInt_Accept_Misses,BlankM_PostInt_Accept_Misses,NoneM_PostInt_Accept_Misses,ATCintM_PostInt_CDT,BlankM_PostInt_CDT,NoneM_PostInt_CDT,ATCintM_PostInt_ConfMisses,BlankM_PostInt_ConfMisses,NoneM_PostInt_ConfMisses,ATCintM_Overlap_ConfMisses,BlankM_Overlap_ConfMisses
1,6.6,6.4,7,6.4,5.8,6.2,6.5,6.1,6.6,2983.915357,2756.074074,3179.8,2839.2,3171.4,3283.857143,2356.163243,2920.595556,2415.236207,2825,3622.695652,2723.673469,0.058823529,0,0.08,0,0,0,49228.96,57384.59,41206.3925,0,0.2,0,0.166666667,0
10,7.4,7.2,7,8.4,7.8,7.6,7.9,7.5,7.3,3695.908696,3369.032143,3704.710714,3771.166667,3483.6,4318.842105,4626.577407,3802.837694,4723.37973,4567.510638,4258.463415,5386.911111,0.090909091,0,0.045454545,0.039215686,0.023255814,0.021276596,69219.1525,51694.6,50245.26,0.25,0,0,0.166666667,0.5
11,4.6,4.8,3.8,4.2,5.4,4.4,4.4,5.1,4.1,2866.514815,2247.726087,2604.391935,2890.789474,2456.952381,3060,2573.744571,3121.925185,2379.572162,2650.847826,2498.458333,2158.095238,0,0.043478261,0,0,0.02,0,55960.65833,38375.31333,45831.28,0,0,0,0.5,0.166666667
12,6.6,6,6.4,6.8,6.6,6.6,6.7,6.3,6.5,2145.531,1902.326087,2441.810714,2129.333333,2448,2152.894737,2469.93773,2456.201852,2446.117838,2303.428571,2253.77551,2990.847826,0,0.041666667,0.047619048,0,0,0,66744.255,70893.24,65717.8225,0,0.333333333,0,0.333333333,0.25
13,5.8,5.6,5.8,5.8,6.2,6.2,5.8,5.9,6,3357.151034,3594.362963,4452.421739,2665.285714,3229.684211,3515.7,3971.691833,3680.826,3746.182143,3030.142857,3069.347826,3229.163265,0.0625,0.047619048,0.083333333,0,0,0,32453.0175,19201.87,65535.655,0,0,0.25,0.333333333,0.166666667
14,7.2,6,7.6,9.4,7,9.4,8.3,6.5,8.5,2907.003704,2684.872,2196.056522,2492.65,2939.133333,2810.619048,2560.2625,2733.875378,2015.495172,2213.73913,2301.904762,2753.979592,0,0,0.08,0,0,0,52316.202,61313.346,77847.3,0,0,0,0.25,0.6
15,6.2,6.6,7.2,10,6.4,6.8,8.1,6.5,7,4440.382609,5166.407692,4621.426129,4388.9,4950.277778,2729.733333,4570.979643,5372.637742,5610.404351,5436.288889,5332.863636,5652.513514,0.115384615,0.090909091,0.058823529,0.075471698,0.041666667,0.106382979,71675.83,66846.83667,44762.93,0.333333333,0,0,0,0
16,3.2,2.6,2.8,3.2,3,2.8,3.2,2.8,2.8,3423.6,2713.801724,3834.435714,3734.428571,4284.066667,2764.15,3018.182222,2568.766081,3597.068889,3047.510204,2975.857143,3300.521739,0.08,0,0,0,0,0,54171.3925,87366.684,65692,0.25,0.2,0.333333333,0.333333333,0
17,5.2,4.2,4.6,5.8,5.2,5.8,5.5,4.7,5.2,3737.711538,3813.459091,2927.623226,2632.263158,2804.052632,3461.928571,3540.267714,3076.727037,3936.242528,3571.478261,3419.591837,3807.428571,0,0.12,0,0,0,0,57139.4,64987.1375,83461.39,0.25,0,0.6,0,0.333333333
18,6.2,5.6,6.6,1.2,0,0,3.7,2.8,3.3,2469.071034,3221.769565,3262.693103,3359.466667,2549,2143,3385.656108,3178.636786,3468.391081,3166.142857,2887.755102,3159.108696,0,0.08,0,0,0,0,54303.864,80889.43,71642.835,0,0,0,0.2,0.4
19,5.6,5.6,5.6,5.2,6.2,6.4,5.4,5.9,6,2596.452414,3956.581481,3189.386957,2978.6,3054.210526,4324.263158,3068.638778,3095.425278,3692.535862,2963.97619,3553.26087,3603.408163,0.058823529,0,0.086956522,0,0,0,51286.186,57676.7225,45090.555,0.2,0,0,0,0.333333333
2,6.6,5.8,5.8,5.4,5.2,5,6,5.5,5.4,2663.518519,2316.961333,2787.121739,2083.6,2413.214286,2574.285714,2816.783714,2562.080943,3011.932759,2625.543478,3349.047619,2991,0,0,0.08,0,0,0,55042.06667,39916.53167,47325.97,0,0,0,0,0.25
20,7.8,8.6,7.8,6,6.4,5.8,6.9,7.5,6.8,3120.751852,2615.567931,2896.118182,2595.45,3281.866667,3209.05,2969.225833,3592.148611,3206.059655,2928.73913,2572.571429,2787.77551,0,0,0.083333333,0,0,0,32998.3575,49047.624,57345.7,0,0,0,0,0
21,4.8,4.8,4.6,3.8,3.8,3.6,4.3,4.3,4.1,2496.417391,2171.648148,2547.27129,2638.285714,2156.944444,2168.733333,2423.466429,2667.980857,2253.410865,2469.653061,2624.565217,2409.465116,0.08,0,0,0,0,0,50041.08,55044.216,67588.815,0,0,0.25,0,0.25
22,6,5.8,6.2,6.4,5.8,6,6.2,5.8,6.1,3694.721739,4000.623929,3773.714286,3191.238095,3956.866667,3536.111111,2992.484286,2642.14427,2968.501892,3494.020408,2886.238095,2869.630435,0.08,0,0.090909091,0,0,0,68320.9425,59525.478,68612.9025,0.25,0,0.25,0.6,0.2
23,7,7.2,7.6,7,7.8,8,7,7.5,7.8,4821.315385,5252.013636,4222.959,4330.578947,5027.842105,5029.071429,5426.442571,4159.807037,3947.473667,4258.466667,3578.020833,4111.825,0.047619048,0.148148148,0.111111111,0.021276596,0.02,0.045454545,49991.44333,75022.29,80457.79,0,0.166666667,0.25,0.166666667,0.5
24,6.6,6.4,6.6,7.4,6.2,7.2,7,6.3,6.9,4051.915,3228.795652,3326.265517,2988.533333,3934.428571,3350.333333,4323.238571,4037.175556,4485.93,3653.634146,3647.734694,3452.804348,0,0.08,0.05,0.023255814,0,0,52150.392,58954.1975,57628.05,0,0,0,0,0.4
25,7.6,7.8,7,8,8.2,7.2,7.8,8,7.1,4135.752759,3708.5,3663.913043,3507,3324.058824,3036.090909,3732.577314,3985.103429,3601.72,3774.380952,3332.717391,3517.770833,0.0625,0.095238095,0.041666667,0,0,0.02,54667.342,37339.3875,43802.9875,0,0,0,0,0.166666667
26,6.8,6.4,6.6,6.2,6.4,6.8,6.5,6.4,6.7,4081.283333,2647.897586,3577.490909,2987.65,3711.357143,3245.3,2971.552286,3549.63775,3631.192414,3104.413043,4081.904762,3383.612245,0,0,0.115384615,0,0,0,38057.65667,42842.13,50956.83,0,0,0.166666667,0.333333333,0
27,2,2.2,2,1.8,6,1.8,1.9,4.1,1.9,2201.117391,2630.522222,2723.146452,2145.571429,2218.8,2534.866667,2402.826429,2032.500556,2057.539243,2298.326531,2079.391304,2073.357143,0.08,0,0,0,0,0,30040.2,53134.96,31890.925,0,0.25,0.25,0.25,0.333333333
28,2.8,1.8,2.6,3.6,2.4,3,3.2,2.1,2.8,3447.521739,2767.484138,2796.555172,3396.894737,3892.928571,2263.7,3405.192143,3387.777833,2905.976757,2926.306122,2790.047619,2777.152174,0.172413793,0.111111111,0,0,0,0,66020.93333,67622.22667,57061.2025,0,0,0,0.5,0
